"filename", "language", "XML", "C#", "Markdown", "JavaScript", "ASP.NET Razor", "MS SQL", "JSON", "PostCSS", "comment", "blank", "total"
"d:\.net\start\Services\Interfaces\IOrderReadService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\.net\start\Services\Interfaces\IOrderService.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\.net\start\Services\Interfaces\IPaymentService.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\.net\start\Services\Interfaces\IProductService.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\.net\start\Services\Interfaces\IProfileService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 2, 3, 12
"d:\.net\start\Services\Interfaces\IStoreService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\.net\start\Temp\ADMIN_DROPDOWN_GUIDE.md", "Markdown", 0, 0, 87, 0, 0, 0, 0, 0, 3, 28, 118
"d:\.net\start\Temp\ToggleProductStatus_Explanation.md", "Markdown", 0, 0, 217, 0, 0, 0, 0, 0, 0, 60, 277
"d:\.net\start\Temp\tempcode\CartViewModel.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 1, 1, 8
"d:\.net\start\Views\Account\ChangePassword.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 119, 0, 0, 0, 0, 22, 141
"d:\.net\start\Views\Account\EditProfile.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 131, 0, 0, 0, 0, 24, 155
"d:\.net\start\Views\Account\ForgotPassword.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 79, 0, 0, 0, 0, 14, 93
"d:\.net\start\Views\Account\Login.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 104, 0, 0, 0, 0, 19, 123
"d:\.net\start\Views\Account\Profile.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 169, 0, 0, 0, 1, 32, 202
"d:\.net\start\Views\Account\Register.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 125, 0, 0, 0, 0, 22, 147
"d:\.net\start\Views\Account\ResetPassword.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 126, 0, 0, 0, 0, 24, 150
"d:\.net\start\Views\Account\SetPassword.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 46, 0, 0, 0, 0, 8, 54
"d:\.net\start\Views\Account\VerifyEmail.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 73, 0, 0, 0, 0, 12, 85
